                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5765,                 3.5576,                 4.1815,                0.00338,                0.15042,                 0.0041,                0.00171,                  3.409,                 3.7438,                 4.1472,             0.00065333,             0.00065333,             0.00065333
                      1,                 3.2302,                 3.2471,                 3.6852,                0.07325,                0.04265,                0.01673,                0.00564,                 2.9716,                 3.4451,                 3.5588,              0.0013135,              0.0013135,              0.0013135
                      2,                  3.034,                 3.0839,                 3.2507,                0.03011,                0.02205,                0.00604,                0.00216,                 3.2766,                 116.86,                 4.6791,               0.001967,               0.001967,               0.001967
                      3,                 2.8532,                 3.0056,                  2.993,                0.05661,                0.06244,                0.02129,                0.00867,                 2.7654,                 6.3685,                 2.9796,              0.0019703,              0.0019703,              0.0019703
                      4,                 2.8043,                 2.9462,                 2.8767,                0.15598,                 0.1597,                0.08366,                0.02986,                 2.6535,                 7.4483,                 2.7154,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.6671,                 2.8022,                 2.7318,                0.18779,                0.15928,                0.09093,                0.03262,                 2.5388,                 3.2158,                 2.6212,              0.0019604,              0.0019604,              0.0019604
                      6,                  2.594,                 2.7841,                 2.6655,                0.19181,                0.16526,                0.10196,                0.03618,                 2.5048,                  3.398,                  2.523,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.5363,                 2.7279,                 2.5878,                0.19252,                0.15042,                0.09256,                0.03385,                 2.4354,                  3.055,                 2.5251,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.4946,                 2.6433,                 2.4973,                0.15962,                0.15125,                0.08328,                0.03568,                  2.357,                 2.7446,                 2.4191,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.4608,                 2.6512,                 2.4941,                0.20628,                 0.1599,                0.10173,                0.04015,                 2.3732,                 2.6469,                 2.3972,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.4233,                 2.6314,                 2.4113,                0.20802,                0.20256,                0.12052,                0.04883,                 2.3504,                 2.8812,                 2.3902,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.3881,                 2.5332,                 2.3652,                0.25683,                0.19967,                0.13999,                0.05529,                  2.328,                 2.5798,                 2.3129,               0.001901,               0.001901,               0.001901
                     12,                 2.3304,                 2.5496,                 2.3675,                0.23705,                0.19926,                0.12232,                0.04728,                 2.2763,                 2.5925,                 2.2816,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.3155,                 2.5081,                 2.3041,                0.26034,                0.21183,                0.14256,                0.05451,                 2.3311,                 2.6003,                 2.3258,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.2614,                  2.466,                 2.2521,                0.29045,                0.23367,                0.17152,                0.07273,                 2.2375,                 2.4693,                  2.198,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.2511,                 2.5046,                 2.2935,                0.24946,                0.21822,                0.14953,                 0.0604,                 2.2196,                 2.6833,                 2.1989,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.2049,                 2.3716,                 2.1648,                 0.2524,                0.25572,                0.17268,                  0.073,                 2.2114,                 2.4867,                 2.1719,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.2264,                  2.377,                 2.1963,                0.28312,                0.23882,                0.16935,                0.07065,                 2.1672,                   2.42,                 2.1671,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.1646,                 2.3669,                 2.1536,                0.15955,                0.20091,                0.10548,                0.04647,                 2.1373,                 2.7302,                 2.1403,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.1745,                 2.4108,                 2.1831,                0.29726,                0.23965,                 0.1854,                0.07815,                 2.1305,                 2.4036,                 2.1172,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.1878,                  2.358,                 2.1384,                0.22729,                0.21487,                0.14652,                0.06236,                 2.1266,                 2.5455,                 2.1357,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.1139,                 2.3619,                 2.1284,                0.28877,                0.24912,                0.19264,                0.08015,                 2.1064,                  2.351,                 2.0792,               0.001802,               0.001802,               0.001802
                     22,                   2.11,                  2.322,                 2.1133,                0.29682,                 0.2415,                0.18367,                0.08062,                  2.063,                 2.3647,                 2.0591,              0.0017921,              0.0017921,              0.0017921
                     23,                 2.1008,                 2.3374,                 2.1193,                0.30531,                0.23635,                0.18972,                0.07984,                 2.0926,                 2.3891,                 2.0493,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.0779,                 2.2922,                 2.0634,                0.28619,                 0.2483,                0.19129,                0.08706,                 2.0492,                 2.2979,                 2.0229,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.0796,                  2.267,                 2.0408,                0.32912,                0.25407,                0.20877,                0.09327,                 2.0198,                 2.2343,                 1.9814,              0.0017624,              0.0017624,              0.0017624
                     26,                 2.0566,                 2.2342,                 2.0008,                0.31574,                0.26046,                0.20344,                0.08931,                 2.0213,                 2.2749,                  1.974,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.0143,                  2.246,                 2.0255,                0.33952,                0.26128,                0.21789,                0.10163,                 1.9776,                 2.1741,                 1.9373,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.0156,                 2.2179,                 2.0012,                 0.3367,                0.25778,                0.20397,                0.09695,                  1.946,                 2.3282,                 1.9589,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.0239,                 2.1937,                 1.9739,                0.36247,                0.26726,                0.23507,                0.10981,                 1.9744,                 2.1353,                 1.9078,              0.0017228,              0.0017228,              0.0017228
                     30,                 1.9804,                 2.1671,                 1.9558,                0.35156,                0.27076,                0.23825,                0.11255,                 1.9765,                 2.1353,                 1.9332,              0.0017129,              0.0017129,              0.0017129
